nome,renda,idade,etnia,sexo,casapropria,outrasrendas,estadocivil,escolaridade
"Zachary, Subia",4479.399038467949,27.154735004714738,0,0,0,0,1,3
"Amanda, Pacheco",3613.1077896461693,52.46917913738938,0,1,0,0,1,2
"Steven, Smith",4135.52023867172,41.63903546056509,1,0,0,0,0,3
"Danny, Miller",2065.1158063485204,27.00125572452769,1,0,1,0,0,0
"Joshua, Aya",4889.307314535088,28.667987465741387,0,0,1,0,1,1
"Ada, Trang",3088.857587255296,48.149378201633056,1,1,0,0,1,2
"Ivan, Casper",3841.299888077424,44.99586770165347,1,0,1,0,1,2
"Kaci, Mitchell",3328.4029356003853,21.165783646427336,0,1,0,0,0,1
"Jazzmine, Pena",5070.4815432272735,59.625891544940785,0,1,1,0,0,2
"Craig, Orosco",3523.778448832297,33.04035971071953,0,0,1,0,1,2
"Nizaam, al-Dib",3146.3784591685217,25.2874967891432,0,0,1,1,1,1
"Courtney, Natrasevschi",1743.3375720246065,28.897432783725186,1,1,0,0,0,2
"Melanie, Garnier",3834.354450132831,33.306649564447994,1,1,0,0,1,0
"Tiara, Rios",1926.6297558873148,39.83577279075641,0,1,1,0,0,1
"Valerie, Pacheco",4228.26461700266,49.77195044190561,0,1,0,0,1,1
"Patrick, Thompson",4286.847959355359,20.1768015678972,0,0,1,1,1,0
"Angel, Gomez-Ramirez",2139.666234446908,27.828722453137452,1,0,0,0,1,3
"Shenandoah, Iron Cloud",4530.1878127806,34.19338085226844,0,0,1,0,1,2
"Dillon, Myers",4010.1328398427286,54.61469280376791,1,0,1,0,1,2
"Brandon, Lee",3368.140970549562,26.351222302343565,0,0,0,0,1,1
"Alexandria, Boyle",3032.4464420577738,26.168215596802533,1,1,0,0,1,2
"Lucas, Yadav",4658.29793971651,51.37204922068819,0,0,1,0,1,1
"Shawn, Awtrey",2254.9351836426904,45.06329197806885,1,0,0,0,0,1
"Dana, Mccurdy",2137.6269346481363,18.253296573646367,1,1,0,0,0,1
"Keenan, Berens",2300.9082550751314,24.68387738099537,1,0,0,1,0,2
"K'Lyn, Costa",2695.02667428553,21.735553410702735,1,1,0,0,1,1
"Serena, Whitecalf",3543.758541785304,37.15402345283316,1,1,0,0,1,1
"David, Rocha",2317.9186978582084,34.717261386787506,1,0,0,0,0,2
"Rebecca, Walker",2349.81762395604,24.098985466834137,0,1,0,1,1,2
"Michael, Coutu",3311.699862619027,38.274523369141754,1,0,0,0,1,2
"Diego, Guerrero",4328.013349643051,43.56299425269669,0,0,1,0,1,3
"Tiffany, Wong",2966.861380976502,49.729875848585976,0,1,0,1,0,1
"Devan, Moss",4849.076866470674,18.149184642359614,0,0,1,0,1,1
"Jonathan, Vafeades",4730.447611826956,54.105317397305264,0,0,1,0,1,2
"Raakaan, al-Nazar",4384.156050918884,35.62757074209079,0,0,1,0,1,3
"Joseph, Hamilton",4446.635040009232,32.92131002911043,1,0,1,0,1,1
"Adamina, Griego",3955.3446498807552,32.24819382864343,0,1,1,1,1,2
"Curtis, Kang",3760.4165919437814,53.23999712908027,0,0,0,1,1,3
"Rajiv, Seng",4004.2259082920536,41.44507505212914,0,0,1,0,1,3
"Dryden, Huffaker",3187.834923127658,52.54988868175301,0,0,1,0,1,2
"Anthony, Lane",4510.854754978941,23.16232284867147,0,0,0,0,1,1
"Casey, Coffman",3682.1843540755417,49.73739739427669,1,0,1,1,0,3
"Joshua, Naitaqi",3122.476599423471,33.743210037754686,1,0,1,1,1,1
"Davidray, Shoeboot",4138.941936152252,45.01200368724889,0,0,1,0,0,1
"Travis, Kennedy",2585.0420545931074,57.845583161687294,1,0,0,0,1,1
"Trenton, Schwadron",4776.614381446081,44.831357964357416,0,0,0,1,1,2
"Thieng, Nguyen",3230.316761236215,30.360492098682766,1,1,0,0,1,2
"Marrietta, Felipe",3831.5416793053246,39.602433344179644,1,1,1,0,1,2
"Aubrey, Bockelmann",2435.5606931802467,29.930358001627628,1,1,0,0,0,3
"Abdul Jabbaar, al-Baten",3486.448265660911,42.376486422013855,1,0,1,0,1,1
"Collin, Mirhashemi",4201.580245012002,44.79833819598498,0,0,0,1,0,3
"Nicolas, Ly",4547.554771930754,42.95654168807793,1,0,0,0,1,2
"Jamison, Sherwood",2225.963975995951,26.209371799027235,1,0,1,0,1,1
"Raelynn, Jiron",2684.5701189903857,32.28200339147602,1,1,0,0,0,1
"Joseph, Strayer",3431.513747195463,55.32321264435646,0,0,0,1,1,3
"Aaron, Xiong",3767.2887523564714,37.89056996902612,1,0,0,0,0,0
"Shafeeqa, el-Rabbani",3235.0311997345875,40.74516676709187,0,1,0,0,0,1
"Niqia, Martin",3699.7883559636534,29.96817330848671,0,1,0,0,0,2
"Delfina, Delgadillo",3909.0764766096086,27.38435673851381,0,1,1,1,1,2
"John, Sheppard",3981.059980024165,32.434505449618165,0,0,1,1,0,2
"Waliyya, al-Atallah",2603.7291355048474,34.76785821647287,1,1,0,0,1,0
"Angelica, Carrillo",3139.711799387094,41.40939663911807,0,1,0,0,0,2
"Manuel, Montez",3590.9173075350636,41.37977738538129,0,0,1,0,1,2
"Abdul Hameed, el-Sadri",4613.492193595507,55.09619658617327,1,0,0,0,0,2
"Steffany, Mattern",2907.9567964492467,61.36301002503628,0,1,0,1,0,2
"Joseph, Harris",4318.920475344854,39.567143723226984,0,0,1,0,1,2
"Kiara, Musonda",4477.525411035062,50.83368655569189,0,1,1,0,1,2
"Zaitoona, el-Bacho",3494.614394673836,26.794984419035302,0,1,1,0,1,2
"Diana, Estrada",4335.73347867123,38.2434199799932,0,1,0,0,1,3
"Nikolas, Cordova",1662.3939411069052,47.19405943664976,1,0,0,1,0,3
"Fareeda, el-Aly",2583.3813617306923,36.87712956892287,1,1,0,0,0,1
"Shanise, Muniz",4820.289885992628,36.52481995246131,1,1,1,0,1,2
"Naqaa, al-Sala",2330.8648569147344,23.168663324598732,1,1,0,0,0,0
"Riley, Swain",2362.444771713998,20.10479489620775,1,1,0,0,1,2
"Cody, Groeneveld",3660.567105789568,33.3214513508828,0,0,1,0,0,2
"Zakariyya, al-Masri",4796.304951794102,45.65255717263207,0,0,0,0,1,1
"Brittany, Swain",4298.344886037945,21.970562173018624,0,1,0,1,1,2
"Eva, Nguyen",2794.5467458904677,38.17997604200171,0,1,0,0,0,2
"Caleb, Brinker",1887.4985646255634,63.51803965681024,1,0,0,1,0,2
"Haajara, al-Salameh",3414.5412600988757,44.317245521561915,0,1,1,0,1,1
"Ayisha, Johnson",3185.6719881518593,38.03183717685129,0,1,1,0,1,2
"Cyrus, Rediros",3201.9017670113562,40.456865813151595,1,0,0,0,0,2
"Anita, Tran",2007.2399492255656,25.808769126942362,1,1,1,0,1,2
"Patricia, Aguirre",3351.2476560315777,21.437750268286063,0,1,0,0,0,1
"Ebany, Bron",4447.071304666376,45.42499683270756,0,1,1,0,0,0
"Georgette, Huguley",3218.8541779889993,44.80849962251379,1,1,0,0,1,2
"Della, Fields",3093.1782975349356,52.60522144056219,1,1,0,0,1,3
"Salma, Tran",4462.537536616601,36.61203586457194,1,1,1,0,1,3
"Jerald, Dorsey",3308.461979931811,23.5828849191371,0,0,1,0,0,3
"Kaitlin, Acosta",2615.751860455914,31.837987313827917,1,1,0,1,1,1
"Anjelina, Cardenas-Regalado",2884.441412983609,36.541146989560545,1,1,0,0,1,2
"Samuel, Calabrese",4453.353675753468,43.65744750956762,0,0,1,0,0,0
"Erika, Vernon",3417.772691868928,35.60304965093166,1,1,0,0,0,2
"Colwyn, Zahn",3156.955809823765,38.552851110185244,0,0,0,0,0,1
"Nadheera, al-Majeed",3307.721367908096,53.988478528798275,0,1,1,0,1,2
"Brandon, Wise",3255.29898255843,23.916346108139127,1,0,0,1,1,2
"Robbi, White",3474.8270715448116,41.55118755496145,1,1,1,1,1,2
"Judith, Dominguez",3656.749764814623,32.29503055664657,1,1,0,0,1,1
"Morgan, James",3905.202399805038,30.34665123503006,0,1,1,0,1,2
"Christopher, Moss",5292.421480047342,42.75506512306968,0,0,1,1,1,2
"Abigail, Pointon",2111.5745009066923,47.946877351809675,0,1,0,1,0,1
"Joshua, Um",4831.464283728229,47.42781254941061,0,0,0,0,1,2
"Neeshaan, al-Shaheen",4010.819796792497,40.41710300709081,1,0,1,1,1,3
"Mutammam, al-Ahsan",3506.812443359303,37.49120307275683,1,0,0,0,0,2
"Victoria, Hall",2317.2529059174985,28.234258747421485,1,1,0,0,1,0
"Alex, Brown",4856.163983500166,47.555154463831684,1,0,0,0,1,2
"Miranda, Moritz",4533.409200097625,50.29616728855875,0,1,1,0,1,0
"Nadeera, el-Malak",4742.253810845226,33.25959626411287,1,1,0,0,1,1
"Ernest, Boyce",4238.3079267082285,61.56305991527113,1,0,0,1,1,1
"Brianna, Tran",3758.3727554037564,42.83847697194887,0,1,0,0,1,2
"Estephan, Acosta-Dominguez",4098.726661495828,51.436259008409685,1,0,1,0,1,3
"Christian, Galvan",3893.39489752454,44.40531524515579,0,0,1,0,1,2
"Genia, Chakravarty",3980.2036705392106,45.277288663766065,1,1,0,0,0,2
"Tony, Saucedo",2787.956434634217,44.197175169622135,1,0,0,0,0,2
"Keaton, Neou",5032.7632257028945,35.577203577351455,0,0,0,1,1,2
"Allycia, Neal",3570.1184418661383,44.4484010990557,0,1,0,0,0,2
"Kevin, Pedersen",3492.3841162623603,52.019082989132215,0,0,1,0,1,3
"Kristofer, Domingo",4140.431678718632,35.09609142219088,0,0,1,0,0,1
"Richard, Berg",3918.7329999011245,38.98662601794419,0,0,1,1,1,2
"Janice, Nielsen",2754.4947319200164,35.89394832513956,1,1,0,0,0,0
"Myles, Lincoln",4496.101840656117,22.55763446275052,1,0,1,0,0,1
"Joshua, Harrell",3452.0932771181065,30.682727127135568,1,0,0,0,0,2
"Melvin, Walker",4452.374730162883,56.8686888349823,0,0,0,0,1,0
"Joseph, Root",2672.106963233783,44.3611013462042,1,0,0,0,0,0
"Jaleela, el-Hamad",3758.129530801263,44.43496906223369,0,1,0,0,1,2
"Chi'Na, Mckelvin",5074.642205492909,21.909737654030323,0,0,1,0,1,3
"Sandra, Gottlieb",3347.8897300837843,51.51856018585814,1,1,1,0,0,3
"Patrick, Rotman",2516.3538461083726,21.417115631513298,1,0,0,0,1,2
"Roy, Domingo",2533.880573429317,47.055180962731406,0,0,0,1,0,1
"Tre, Stewart",4278.269340204799,49.73990930727756,1,0,0,1,1,1
"Shabeeba, el-Kaiser",3420.9082576612186,37.163576744865985,1,1,1,0,0,1
"Kelechi, Brown",4644.272247032914,45.810524341809206,0,0,0,0,1,3
"Eun, Gjurekovec",1989.9757023766535,49.40343103663656,1,1,0,0,0,1
"Tyler, Kacprowicz",3857.4616821941972,19.4764588708058,0,0,0,0,1,2
"Trevor, Landeros",3640.34771028288,38.97961467004185,1,0,0,0,0,1
"Keenan, Cervantes Morales",4761.89155228722,24.048077434331297,1,0,0,1,0,2
"Juliette, Charles",4817.438482028111,48.81028429274991,0,1,1,1,0,2
"Austin, Schilling",2280.5181708533814,33.21440265767386,1,0,1,0,0,0
"Torrence, Uzor",3549.5426039465706,52.44995893883651,1,0,1,0,1,0
"Yuka, Xu",4486.067570381146,46.4757139477392,0,1,1,0,1,3
"Jasmine, Fowler",2368.500851732253,21.21092552858682,1,1,0,0,1,3
"Justin, Mize",3730.8323782790726,68.80331617303844,0,0,0,1,1,2
"Cleatus, Begay",3900.559355168691,36.57707083612048,1,0,0,0,0,2
"Xuan, Tran",3275.0786023301107,35.76366118857729,1,1,0,1,1,2
"Casey, Nading",4091.3120063569277,27.394678746723734,1,0,1,0,0,2
"Rachael, Cordova",2729.6354053003506,21.824433707632124,0,1,0,0,1,2
"Ramziyya, el-Tawil",4761.862333406283,40.27378244700206,0,1,1,0,1,3
"Richard, Gonzalez",2568.197069687679,62.17342563390545,1,0,0,0,0,2
"Justin, Valdez-Refugio",2085.48448341272,44.81331013867599,1,0,0,0,0,0
"Jawhara, el-Sultana",2521.144071210533,42.89094643329493,1,1,1,0,1,2
"Kelly, Ball",3829.784711059684,44.99186723814601,0,1,0,0,0,0
"Abdul Azeez, al-Dada",3589.6172029902173,31.489177520026757,1,0,1,1,1,2
"Ashley, Castro",3371.7918153073015,27.499883177866785,1,1,0,0,1,1
"Holli, Lewis",4053.8540804278073,30.270051819909288,0,1,1,0,0,0
"Miranda, Castillo",3281.6713293037246,35.16358669415932,0,1,1,0,0,1
"Kelsey, Morton",3477.6489910636897,48.083006131533665,0,1,1,0,1,2
"Haafil, al-Khalili",3314.6977411110815,32.00243301262849,0,0,1,1,0,2
"Helen, Onsager",4593.4034908677995,54.93718965297154,0,1,1,1,1,1
"Yuvann, Le",3859.8393695736204,41.26805901416026,0,0,1,0,0,2
"Christian, Rodriguez",2701.1345034302403,18.776822526939213,1,0,0,1,0,2
"James, Rodriguez-Caldera",3184.6604033702015,32.088016542385006,1,0,0,0,1,2
"Chue Fue, Van",3449.524915910956,23.44019013946185,1,0,1,0,1,2
"Timothy, Reddy",5034.88488179161,37.229408290322795,1,0,1,0,1,3
"Awf, al-Mahmoud",3113.9246577307467,47.67492557653564,0,0,1,1,1,3
"Tyler, Mcdaniel",4028.0332394616753,34.48768087037354,1,0,0,0,1,2
"Jonah, Owens",4621.358213691774,61.124390860154904,0,0,0,0,0,2
"Nolan, Leight",3280.7379598424877,43.709837628786644,1,0,1,1,1,3
"Laura, Ware",2988.7385102553835,34.499719424004745,1,1,0,0,0,2
"Lynnette, Victoria",2619.0859233278507,24.84711951925464,1,1,0,1,1,3
"Waheeba, al-Shakir",3388.9688008825447,46.970122089060965,1,1,1,0,0,1
"Alisha, Tolbertson",2721.971614729849,21.02955401316285,1,1,0,1,1,2
"Tyler, Shepard",4962.824121234726,22.777609064073687,0,0,1,0,0,2
"Samantha, George",3506.7569894423586,61.71782760787005,0,1,0,0,1,2
"Tiffany, Nygaard",3539.6737165761338,35.88604182452485,0,1,0,0,0,2
"Dominique, Godoy",4865.338105197798,44.095325377093445,1,1,1,0,0,3
"Raylenda, Vang",3901.22770583712,51.459571834626594,0,1,1,0,0,1
"Kyle, Vanderheiden",4567.493531126942,48.7162227063208,0,0,1,1,0,3
"Jessica, Esposito",2674.479459229556,53.57922412272357,0,1,0,1,1,2
"Raven, Jones",3238.6900826968003,37.852570755646646,1,1,1,0,0,3
"Marissa, Olivas",3907.902286248266,47.33292443069422,1,1,0,0,0,1
"Alana, Yang",1927.3623361357022,47.19755476857076,1,1,1,1,0,3
" Muzna, el-Basha",2761.8098020992174,34.937907758997575,1,1,0,0,0,1
"Ethiyal Raj, Nam",3069.1212078278527,55.13651094103781,0,0,0,0,1,0
"Carl, Lane",4885.545004279575,31.563264677202312,0,0,1,0,1,1
"Alexandrea, Johnson",3981.569782076038,49.04016766005115,1,1,1,0,1,2
"Alija, Rendon",4418.837491227115,35.79032598982013,0,1,1,0,0,3
"Burhaan, el-Saleem",4220.492430628818,40.923798949429596,0,0,1,0,1,3
"Alexander, Smith",4074.6811748027367,62.52531039653416,0,0,1,1,1,2
"Joseph, Guevara",2952.086024197096,28.464731940977813,1,0,0,1,0,3
"Khaalid, al-Mohamad",3521.529263088454,46.984865209508754,0,0,0,0,0,3
"Clyde, Burnett",3247.393331476518,49.498167180814846,1,0,0,0,0,3
"Travis, Bukari",2170.172577979247,60.241672817267386,0,0,0,0,1,1
"Brandon, Balaji",3786.5361630557063,34.26989128731698,1,0,0,0,0,1
"Chloe, Patel",2852.274246810625,52.0406851163269,0,1,0,0,1,2
"Michael, Caballero",3526.1822522023613,39.04587558628855,0,0,1,0,1,2
"Kevin, Dahmer",2651.2439693097044,30.363766478821095,1,0,0,0,0,1
"Karolyn, Belisle",3806.398520719004,28.000833827616113,0,1,0,0,0,0
"Rashawn, Mack",2879.01924576302,28.97178367812697,0,0,0,0,1,1
"Yasmeen, San",4284.8126347653315,34.902456088979946,0,1,0,0,1,2
"Benjamin, Quiroz",3918.568829896281,51.13457995952713,0,0,0,0,0,1
"Jonaiyah, Laurence",2974.9953454410015,39.76503622465107,0,1,1,0,1,3
"Brittany, Arou",2681.4291716937028,43.519453006890544,0,1,0,0,0,1
"Teryl, Apodaca",4176.593713587992,33.524526457618336,0,1,1,0,1,2
"Jasmine, Green",3518.0054502392222,53.944536471457006,1,1,1,1,1,0
"Austen, Liming",3560.170953400054,35.910499927164146,0,0,1,0,0,0
"Jordon, Williams",5012.801084774894,36.25443235508359,1,0,0,0,1,2
"Matthew, Pfeifer",3528.2819628649304,36.14598225184053,0,0,0,1,1,3
"Dania, Martinez",2977.4251271927246,39.020664917877475,0,1,0,0,0,1
"Joshua, Finley",4304.050033399722,37.97610581147639,1,0,1,0,0,3
"Toianna, Habimfura",2497.318397443763,43.632374256585535,1,1,0,0,0,1
"Pa Ying, Chen",4241.200497489578,36.70797039481174,1,1,1,0,1,2
"Theresa, Banz",3039.890833773655,30.10635296424141,0,1,0,0,1,3
"Luis, De La Casa",2066.3701182576374,38.06081047362399,1,0,0,0,1,1
"Christopher, Hamilton",4111.7177468322325,42.22917101596851,0,0,1,1,1,1
"Tyler, Kascak",4488.725050946774,38.11727710033721,1,0,1,0,1,2
"Khaliel, Jacobs",3670.7385580778946,19.675557260826636,0,0,0,0,1,3
"Brandon, Hansen",4875.700158502448,35.08425464904457,0,0,0,0,0,3
"Brittany, Maiden",2004.9504947448377,41.31527017324846,1,1,0,0,1,0
"Faadil, al-Sadiq",4198.018627671843,48.244795164943596,0,0,0,0,1,2
"Raafi, al-Shaikh",3820.2851852146296,34.57753951085193,1,0,1,0,0,2
"Aaqil, al-Shariff",3192.930352705535,45.89028527903272,1,0,1,0,1,1
"Shaamila, el-Mitri",3714.289451809164,34.884743298709246,1,1,0,0,1,1
"Markkus, Madrid",4316.72864992133,59.326345276763924,0,0,1,0,0,2
"Aabid, el-Hamidi",4241.464700827371,34.452822602454894,0,0,1,0,0,2
"Emily, Mason",4277.25031774,54.65769226733102,1,1,0,0,0,2
"Taylor John, Galloway",4381.674941082158,55.605791896834035,0,0,1,0,1,3
"Anna, Thorson",3361.554168664339,18.686742709949613,1,1,0,1,1,1
"Sabrina, Steege",2446.959178425444,53.10523101473527,0,1,0,0,0,2
"Kevin, Reins",3092.521563062239,44.9130822399321,0,0,0,0,1,2
"Morgan, Nunally",4144.772221994953,44.566512509851655,1,1,0,0,0,0
"Alec, Berthrong-Halliday",4767.143579171283,20.209825372323394,1,0,1,0,0,2
"Whitney, Neal",2394.9401120125426,61.70257316425271,1,1,0,0,1,1
"Deysi, Alvarado",2253.146243116413,54.29359584776347,1,1,0,0,0,0
"Lexi, Theriault",3232.561746314483,33.04381443476456,1,1,1,1,1,2
"Javon, Roper",4024.7324466611212,52.03702020425189,0,0,0,0,1,1
"Jordan, Carlson",3356.9030648632975,54.31910013523296,1,1,0,0,0,0
"David, Hickey",3952.8301329119704,46.029082753439546,0,0,1,0,1,1
"Trevor, Gardner",2333.8450639432835,42.28352531770439,1,0,0,1,0,2
"Haamida, el-Pashia",2736.9725871029195,43.292573988745026,1,1,0,0,1,1
"Gregory, Held",2383.7992655499365,27.449238039052773,1,0,0,1,0,3
"Gabriela, Gomez",5086.991690330568,26.060656963271995,1,1,1,0,1,2
"Deven, Moore",3032.0138905939966,30.173789168431483,1,0,0,0,0,1
"Benny, Harrison",3876.996462148235,59.30019128930065,0,0,1,0,1,2
"Rachel, Jacobson",1969.2200816352513,38.10140801930142,1,1,0,1,0,0
"Kayla, Gill",3466.676266758688,54.12779591245951,1,1,1,0,1,2
"Sophie, Gore",3124.0303472606784,26.534981806100618,1,1,0,1,1,3
"Ziyaad, al-Emami",4594.717200762422,25.798339186804725,0,0,1,0,1,1
"Haley, Sandoval",4762.301690392265,25.262549037181497,0,1,0,1,1,1
"Philman, Fink",3517.121657105468,49.182169001346,1,0,0,1,1,3
"Jeniffer, Flores",1502.5446126628885,24.76053985017706,1,1,0,0,0,2
"Stephanie, Heebner",2460.569650302939,36.20779296053199,1,1,1,0,0,2
"Jamal, Harding",3917.3818025084033,23.233256001520115,0,0,0,0,0,1
"Liliana, Pacheco",2989.9726445239676,59.82434815622619,1,1,0,0,1,0
"Sumbula, al-Mahdi",4831.431068877162,47.90210451288662,1,1,0,0,1,2
"Rachael, Boyer",3661.4548054609622,25.12105659876297,1,1,0,0,1,0
"Faaid, al-Abdella",3251.3812128478985,20.165353275835514,0,0,0,0,0,2
"Lucas, Camacho",4697.999890296111,19.12108139130393,1,0,1,0,1,2
"Kassandra, Holguin",4383.55554919513,61.61382595688296,0,1,1,0,1,2
"Olivia, Morris",4070.3779201949137,44.25696975740954,1,1,1,1,1,2
"Chantel, Longoria",1995.6758090015242,54.79454995263586,1,1,0,0,0,1
"Sean, Boden",3443.7446479089294,19.329088620841503,1,0,0,0,1,1
"Bruce, Vanstraten",1857.7339247748616,27.893609473051278,1,0,0,0,0,2
"Aaron, Montoya",3630.269919416457,33.69694316375904,0,0,0,0,1,2
"Casey, Smallwood",4182.6800865390605,36.494899213621316,0,0,0,1,1,3
"April, Rauda-Chavez",4492.6897970628925,52.691534710023184,0,1,1,0,0,3
"Jimmy, Garcia",4309.529283870201,30.967789925129537,0,0,1,0,1,3
"Alexander, Mai",3384.7462581739273,44.717740043822154,0,0,0,0,0,2
"Kadeesha, Grimes",2973.9684297444405,31.60558291880902,1,1,1,0,1,2
"Sage, Ryckman",4535.750275203975,32.40510867379894,0,0,1,0,0,3
"Raamiz, al-Ameen",3705.6687666203106,44.132792829746535,0,0,1,1,0,1
"Sarah, Schwalger",2909.1905646637483,52.35673893058519,1,1,0,0,0,1
"Victor, Pak",2019.497170514821,25.01413562275595,0,0,0,0,0,2
"Marcellus, Davis",3150.1206578802494,27.89903096886697,1,0,0,1,0,0
"Cesar, Lucero",4811.417498593156,43.41798563737519,1,0,0,0,1,3
"Julia, Chung",3107.3727385115876,36.45670978123093,0,1,0,0,1,3
"Lauren, Bolton",3812.3771253794157,35.308767268317105,1,1,0,1,0,3
"Nassaar, el-Koroma",4984.084809623901,32.86447050125029,0,0,0,0,1,3
"Andrew, Livingston",5032.862849414128,52.73173493112071,0,0,1,0,1,2
"Brevin, Mitchell",4843.032478029971,34.7527580015537,0,0,0,0,1,2
"Kelsey, Burgess",2506.260515862237,39.06923740690843,0,1,1,0,1,3
"Anthony, Bock",4395.666649535004,41.14473552016822,1,0,0,0,1,2
"Christopher, Boykin",3548.6754126682335,44.31306343749472,0,0,0,0,1,0
"Ellie, Chaput",3634.4042400879807,50.21634356505776,0,1,1,0,0,2
"Brandon, Worthington",3332.5842627149723,40.46924193717627,0,0,1,0,1,1
"Morgan, Skelton",3286.608648075085,36.81510871397225,0,1,0,0,1,2
"Tylor, Longwing",2204.8096672464967,21.442954750695943,0,0,0,0,1,2
"Dane, Bratlee",3493.5241838468355,32.25474770833977,0,0,1,0,0,2
"Jenay, Rodriguez",2497.2177232954436,31.8560395448257,1,1,1,0,0,2
"Amjad, el-Taha",4468.672609236105,48.75704728751832,0,0,1,0,1,3
"Saalima, el-Aziz",3536.683488121087,32.52614132925535,0,1,0,1,1,3
"Jaylene, Fink",3997.5859244443127,36.08621945553784,0,1,1,0,1,2
"Deion, Benally",4304.148785734255,31.074816937910196,1,0,0,0,1,1
"Mufeed, al-Siddique",3923.968162195893,39.52158132639393,0,0,1,1,1,2
"Brenda, Ruiz-Meraz",3655.522912771607,60.644355128290144,0,1,0,0,0,2
"Pranav, Gonzales",4396.4426545719125,43.879517282370436,1,0,1,0,0,3
"Jose, Pineda",3230.888391504749,20.62401853882845,0,0,0,0,1,3
"Shawn, Tekumalla",3672.5246274179526,50.94104201224869,0,0,0,0,1,2
"Ryan, Bryan",3507.755503421635,40.51654878490129,0,0,0,0,1,0
"Gia, Hackwell",3645.5968165693425,35.61837394250354,1,0,0,0,0,0
"Sammi, Whittemore",3514.1083818714505,38.06561313379615,1,1,0,1,0,1
"Mackenna, Robert",4614.081287283639,51.397564017723276,1,1,1,1,1,2
"Raamiz, el-Abbas",3931.280940080942,63.2333581878305,1,0,1,0,1,3
"Jessenia, Romero",4382.935157373133,33.82217478946428,0,1,0,0,1,3
"Marco, Martin",4072.330975961525,31.40762642831337,0,0,1,0,1,2
"Brianna, Downs",2849.6014579487696,37.896802033025885,1,1,1,0,1,1
"Alondra, Pasquale",1990.9835876789575,32.41334566870237,1,1,0,0,1,3
"Jennifer, Garcia",4418.709295100788,30.481410040931188,1,1,0,0,0,0
"Margaret, Ji",4151.021908765612,36.03696800507499,0,1,0,0,0,2
"Humaina, al-Alam",2994.0832167859285,67.4546896185644,1,1,0,0,0,1
"Rumaana, al-Mahfouz",3229.8880675061932,33.487421341948284,0,1,0,0,0,3
"Raihaana, al-Farran",3485.6287591788196,20.516291698644366,0,1,1,0,1,2
"Joslynn, Ro",3724.3723820635896,47.96781955333381,0,1,0,0,1,2
"Zumruda, el-Kamali",4191.081258603198,44.60798112828337,0,1,1,0,0,2
"Noah, Kwon",3749.6633558617486,33.68590402596345,1,0,0,0,0,1
"Kelawn, Cooper",2970.4579632140158,50.78962642952098,1,0,0,0,1,2
